Pos   	     A	     C	     G	     T     N	Clean A	Clean C	Clean G	Clean T	Clean N
1    	27.09%	25.81%	25.21%	21.89%	 0.00%	27.09%	25.81%	25.21%	21.89%	 0.00%
2    	26.61%	22.82%	27.62%	22.95%	 0.00%	26.61%	22.82%	27.62%	22.95%	 0.00%
3    	24.49%	26.25%	25.68%	23.45%	 0.12%	24.49%	26.25%	25.68%	23.45%	 0.12%
4    	24.40%	26.80%	25.28%	23.52%	 0.00%	24.40%	26.80%	25.28%	23.52%	 0.00%
5    	24.19%	26.53%	24.98%	24.29%	 0.00%	24.19%	26.53%	24.98%	24.29%	 0.00%
6    	23.71%	27.11%	24.85%	24.33%	 0.00%	23.71%	27.11%	24.85%	24.33%	 0.00%
7    	23.83%	26.67%	25.32%	24.18%	 0.00%	23.83%	26.67%	25.32%	24.18%	 0.00%
8    	23.81%	26.44%	24.63%	25.13%	 0.00%	23.81%	26.44%	24.63%	25.13%	 0.00%
9    	23.57%	26.42%	24.81%	25.21%	 0.00%	23.57%	26.42%	24.81%	25.21%	 0.00%
10   	24.01%	26.08%	25.07%	24.84%	 0.00%	24.01%	26.08%	25.07%	24.84%	 0.00%
11   	24.17%	25.94%	25.08%	24.80%	 0.00%	24.17%	25.94%	25.08%	24.80%	 0.00%
12   	24.06%	26.16%	24.99%	24.79%	 0.00%	24.06%	26.16%	24.99%	24.79%	 0.00%
13   	24.16%	25.98%	24.99%	24.87%	 0.00%	24.16%	25.98%	24.99%	24.87%	 0.00%
14   	24.15%	25.94%	25.02%	24.89%	 0.00%	24.15%	25.94%	25.02%	24.89%	 0.00%
15   	24.00%	26.13%	25.04%	24.82%	 0.00%	24.00%	26.13%	25.04%	24.82%	 0.00%
16   	23.94%	26.11%	25.09%	24.86%	 0.00%	23.94%	26.11%	25.09%	24.86%	 0.00%
17   	23.92%	26.10%	25.04%	24.94%	 0.00%	23.92%	26.10%	25.04%	24.94%	 0.00%
18   	23.72%	26.36%	24.95%	24.96%	 0.00%	23.72%	26.36%	24.95%	24.96%	 0.00%
19   	23.76%	26.29%	25.05%	24.90%	 0.00%	23.76%	26.29%	25.05%	24.90%	 0.00%
20   	23.90%	26.12%	25.14%	24.84%	 0.00%	23.90%	26.12%	25.14%	24.84%	 0.00%
21   	23.90%	26.15%	25.20%	24.75%	 0.00%	23.90%	26.15%	25.20%	24.75%	 0.00%
22   	24.02%	26.07%	25.31%	24.60%	 0.00%	24.02%	26.07%	25.31%	24.60%	 0.00%
23   	24.07%	26.04%	25.26%	24.63%	 0.00%	24.07%	26.04%	25.26%	24.63%	 0.00%
24   	23.90%	26.27%	25.23%	24.60%	 0.00%	23.90%	26.27%	25.23%	24.60%	 0.00%
25   	23.96%	26.17%	25.26%	24.60%	 0.00%	23.96%	26.17%	25.26%	24.60%	 0.00%
26   	23.97%	26.06%	25.32%	24.64%	 0.00%	23.97%	26.06%	25.32%	24.64%	 0.00%
27   	23.85%	26.24%	25.32%	24.59%	 0.00%	23.85%	26.24%	25.32%	24.59%	 0.00%
28   	23.93%	26.16%	25.37%	24.54%	 0.00%	23.93%	26.16%	25.37%	24.54%	 0.00%
29   	23.97%	26.09%	25.35%	24.59%	 0.00%	23.97%	26.09%	25.35%	24.59%	 0.00%
30   	23.84%	26.22%	25.38%	24.56%	 0.00%	23.84%	26.22%	25.38%	24.56%	 0.00%
31   	23.94%	26.14%	25.45%	24.47%	 0.00%	23.94%	26.14%	25.45%	24.47%	 0.00%
32   	23.95%	26.09%	25.43%	24.53%	 0.00%	23.95%	26.09%	25.43%	24.53%	 0.00%
33   	23.87%	26.20%	25.46%	24.46%	 0.00%	23.87%	26.20%	25.46%	24.46%	 0.00%
34   	23.94%	26.15%	25.49%	24.42%	 0.00%	23.94%	26.15%	25.49%	24.42%	 0.00%
35   	23.92%	26.13%	25.46%	24.49%	 0.00%	23.92%	26.13%	25.46%	24.49%	 0.00%
36   	23.84%	26.25%	25.46%	24.45%	 0.00%	23.84%	26.25%	25.46%	24.45%	 0.00%
37   	23.88%	26.19%	25.52%	24.40%	 0.00%	23.88%	26.19%	25.52%	24.40%	 0.00%
38   	23.90%	26.16%	25.49%	24.45%	 0.00%	23.90%	26.16%	25.49%	24.45%	 0.00%
39   	23.82%	26.24%	25.52%	24.42%	 0.00%	23.82%	26.24%	25.52%	24.42%	 0.00%
