#gene	geneID	pk
DDX11L1	ENSG00000223972.5	293801
WASH7P	ENSG00000227232.5	551252
MIR6859-1	ENSG00000278267.1	878946
RP11-34P13.3	ENSG00000243485.3	65915
MIR1302-2	ENSG00000274890.1	456068
FAM138A	ENSG00000237613.2	802663
OR4G4P	ENSG00000268020.3	900262
OR4G11P	ENSG00000240361.1	837956
OR4F5	ENSG00000186092.4	891039
RP11-34P13.7	ENSG00000238009.6	214602
RP11-34P13.8	ENSG00000239945.1	821253
CICP27	ENSG00000233750.3	401657
RP11-34P13.15	ENSG00000268903.1	985514
RP11-34P13.16	ENSG00000269981.1	966627
RP11-34P13.14	ENSG00000239906.1	308262
RP11-34P13.13	ENSG00000241860.6	968243
RNU6-1100P	ENSG00000222623.1	380498
RP11-34P13.9	ENSG00000241599.1	657210
FO538757.3	ENSG00000279928.1	943141
FO538757.2	ENSG00000279457.3	961659
MIR6859-2	ENSG00000273874.1	112393
FO538757.1	ENSG00000275135.1	582807
AP006222.2	ENSG00000228463.9	615371
RPL23AP21	ENSG00000241670.3	394469
RPL23AP24	ENSG00000236679.2	732161
RP5-857K21.15	ENSG00000236743.1	290070
RP4-669L17.2	ENSG00000236601.2	931945
RP4-669L17.10	ENSG00000237094.11	939121
WBP1LP7	ENSG00000269732.1	73433
OR4F29	ENSG00000278566.1	55344
SEPT14P13	ENSG00000224813.3	660256
CICP7	ENSG00000233653.3	837260
RP4-669L17.8	ENSG00000250575.1	25295
U6	ENSG00000278757.1	273411
RP5-857K21.4	ENSG00000230021.8	464154
RP5-857K21.2	ENSG00000235146.2	890307
MTND1P23	ENSG00000225972.1	763684
MTND2P28	ENSG00000225630.1	18641
AC114498.1	ENSG00000276171.1	831736
MTCO1P12	ENSG00000237973.1	414825
MIR6723	ENSG00000278791.1	326962
MTCO2P12	ENSG00000229344.1	972757
MTATP8P1	ENSG00000240409.1	430598
MTATP6P1	ENSG00000248527.1	551584
MTCO3P12	ENSG00000198744.5	857326
WBP1LP6	ENSG00000268663.1	541174
OR4F16	ENSG00000273547.1	37323
CICP3	ENSG00000229376.3	399521
RP11-206L10.2	ENSG00000228327.3	54964
RNU6-1199P	ENSG00000223181.1	108495
RP11-206L10.4	ENSG00000229905.1	4693
RP11-206L10.9	ENSG00000237491.8	269944
RP11-206L10.8	ENSG00000230092.7	164512
FAM87B	ENSG00000177757.2	462142
LINC01128	ENSG00000228794.8	21877
LINC00115	ENSG00000225880.5	385136
FAM41C	ENSG00000230368.2	339728
TUBB8P11	ENSG00000234711.1	796403
FAM166AP3	ENSG00000283040.1	448891
RP11-54O7.16	ENSG00000272438.1	608547
RP11-54O7.1	ENSG00000230699.2	783522
RP11-54O7.2	ENSG00000241180.1	190433
RP11-54O7.3	ENSG00000223764.2	761402
SAMD11	ENSG00000187634.10	790761
NOC2L	ENSG00000188976.10	551362
KLHL17	ENSG00000187961.13	464064
AL645608.1	ENSG00000277294.1	782271
PLEKHN1	ENSG00000187583.10	756125
PERM1	ENSG00000187642.9	387594
RP11-54O7.17	ENSG00000272512.1	697807
HES4	ENSG00000188290.10	43715
ISG15	ENSG00000187608.8	628733
RP11-54O7.10	ENSG00000231702.2	559033
RP11-54O7.11	ENSG00000224969.1	603795
AGRN	ENSG00000188157.13	113158
RP11-54O7.14	ENSG00000242590.1	58271
RP11-465B22.3	ENSG00000217801.9	54612
RP11-54O7.18	ENSG00000273443.1	802816
